company_id,name_latin,name_native,legal_name,roles,country,hq_city,founded,ownership,exchange,ticker,parent_company,employees,collab_sku_count,website,confidence,notes
C001,Preseed Japan,プレシードジャパン株式会社,Preseed Japan Co. Ltd.,audio_brand,JP,Shibuya Tokyo,brand launched 2018,private,,,,,33,https://preseedjapan.co.jp/,verified_primary,Operates AVIOT. Brand name from Audio-Visual Internet Of Things; re-glossed 2023 as A Visionary Innovation On Technology. Widened to general electricals 2023 and e-kickboards 2025. Rep: Tsuchiyama Hirokazu (transliteration only). ~3 years in collab business as of Toyo Keizai interview. 350+ anime character voices recorded. Runs own radio programme on Bunka Broadcasting. EVP Shuto Inoue interviewed.
C002,Onkyo,オンキヨー株式会社,Onkyo Corporation,audio_brand;retailer,JP,,,unknown,,,,,31,https://www.anima-audio.jp/,verified_primary,ANIMA brand. Operates Oto-Ani (音アニ) dedicated anime-audio physical store in Akihabara - only player in either market with category-specific retail. Business model is fully made-to-order (完全受注生産). Also does non-audio collabs (LUPICIA tea). Current post-restructuring corporate structure NOT ESTABLISHED.
C003,final,株式会社final,final Inc.,audio_brand,JP,Kawasaki Kanagawa,,private,,,,,10,https://final-inc.com/,verified_primary,Formerly S'NEXT - legacy domain snext-final.com still live; rename date NOT VERIFIED. ag is the sub-brand. PR Times corporate ID 000121822. Owns the ASMR niche. Only operator with a 5-installment single-talent series.
C004,NAIN,株式会社ネイン,NAIN Inc.,audio_brand;software_licensor,JP,Shibuya Tokyo,2014-11,private,,,,30,6,https://zeeny.com/,verified_primary,Founder Yamamoto Kentaro. Zeeny brand. Venture-funded (profiles on Nikkei Compass; initial.inc; Morning Pitch). Zeeny Assistant lets users re-skin operation sounds with a chosen character voice - voice skins as a service decoupled from the SKU. Yv (イヴ) licenses hearable tech as software TO OTHER AUDIO BRANDS. Lowest JP price tier.
C005,Sony,ソニー,Sony Corporation,audio_brand,JP,Tokyo,1946,public,TSE;NYSE,6758;SONY,,,1,https://www.sony.jp/headphone/,verified_primary,Participates via Bocchi the Rock! collab now at 3rd installment. I initially recorded Sony as absent - that was WRONG. Collab pricing not found.
C006,JVCKenwood,株式会社JVCケンウッド,JVCKenwood Corporation,audio_brand,JP,Yokohama,,public,TSE,6632,,,4,https://www.victor.jp/,verified_primary,Victor brand. Disney Store exclusive collabs at 7150 JPY. Separately invented the 推し声オーディオ (oshigoe/favourite-voice audio) category with EX-DUB1 component system tuned by anime sound director Mami Masafumi and sold voice-actor content on separate USB SKUs. PR Times ID 000045133.
C007,Universal Music Japan,ユニバーサル ミュージック合同会社,Universal Music LLC,music_label;audio_brand,JP,Tokyo,,subsidiary,,,Universal Music Group,,2,https://store.universal-music.co.jp/,verified_primary,TOoKA BASE label. A RECORD LABEL publishing its own earphones - different value chain. Sources ODM chassis rather than maintaining a platform (two different hardware platforms in one line at one price). PR Times ID 000000664.
C008,Owltech,オウルテック株式会社,Owltech Co. Ltd.,peripheral_maker,JP,,,private,,,,,1,,verified_primary,Digital-accessory maker not a hi-fi house. Manufactured KPro01 with the talent as development LEAD. Approached Koiwai Kotori for a normal collab and she chose to lead development instead.
C009,Taito,株式会社タイトー,Taito Corporation,game_publisher,JP,Tokyo,1953,subsidiary,,,Square Enix Holdings,,2,,verified_secondary,Groove Coaster x hololive earphones vol.1-3 with talent-recorded voice guidance. Vol.1 restocked on demand.
C010,Cafereo,株式会社キャラアニ系,Cafereo Co. Ltd.,goods_distributor,JP,,,private,,,,,2,https://www.cafereogroup.com/,verified_secondary,Goods distributor for the Groove Coaster x hololive earphones. Legal name needs verification.
C011,Bunka Broadcast Extend,文化放送エクステンド,,broker;media,JP,Tokyo,,subsidiary,,,Bunka Broadcasting,,0,,verified_primary,NOT a seller - the INTERMEDIARY. Group company of Bunka Broadcasting radio. Historically produced voice-actor radio programmes and that relationship bridged the audio industry to the voice-actor industry. CEO Hiroyuki Uchida interviewed by Toyo Keizai. Key to the rights-fragmentation workaround.
C012,Nippon Television,日本テレビ,Nippon Television Network Corporation,tv_network;retail_channel,JP,Tokyo,1953,public,TSE,9404,,,2,,verified_primary,Sold final's Namikawa Daisuke model through its TV shopping channel; also the Buzz Rhythm programme tie-in. TV network acting as both IP source and retail channel.
C013,Hi-Unit,,,audio_brand,JP,,,unknown,,,,,2,,verified_secondary,Sanrio licensee. Carries a Pierre Nakano musician tuning credit. Corporate owner NOT ESTABLISHED.
C014,intime,,,audio_brand,JP,,,unknown,,,,,1,,lead_only,iGa-Phone listed in e-earphone collab section; partner not identified.
C015,Audio-Technica,株式会社オーディオテクニカ,Audio-Technica Corporation,audio_brand,JP,Machida Tokyo,1962,private,,,,,0,https://www.audio-technica.co.jp/,verified_primary,CONFIRMED DELIBERATE NON-PARTICIPANT. Uses seiyuu heavily for promotion only (Color of Life 2020; Color of Life 2nd Season; Always you Always colorful) and ships NO talent-branded SKU. The endorsement_only strategic contrast case.
C016,MOONDROP,水月雨,成都水月雨科技有限公司,audio_brand,CN,Chengdu (Wenjiang District),2015,private,,,,,15,https://moondroplab.com/,verified_primary,Chengdu Moondrop Technology Co. Ltd. Output value grew from a few hundred thousand to over CNY 100 million (上亿) in ten years. 20+ countries. 16 awards at 2026 VGP - stated record for a Chinese audio brand overseas. Stated strategy 二次元文化+硬核声学 (ACG culture + hardcore acoustics) explicitly to open overseas premium markets. Publishes VDSF target curves. Develops proprietary SoC and NPU. Entry tier from CNY 99. Premium FDT planar with ~500nm diaphragms.
