entity_id,entity_name,metric,segment,period_label,period_type,period_end,value,unit,currency,yoy_pct,confidence,source_url,notes
C021,COVER Corp,revenue,total,FY2026/3,FY,2026-03-31,49330,million,JPY,13.7,verified_secondary,https://www.moguravr.com/cover-2026-q4-earnings/,493億3000万円. Tanshin PDF returned unparseable binary via automated fetch so figure is from reporting on it. Automated summary elsewhere rendered this as 493.3 BILLION yen - a 10x error.
C021,COVER Corp,revenue,merchandising,FY2026/3,FY,2026-03-31,23747,million,JPY,15.6,verified_secondary,https://www.moguravr.com/cover-2026-q4-earnings/,237億4700万円. Growth attributed principally to the hololive OFFICIAL CARD GAME trading card product NOT to electronics. Do not read as collab-hardware growth.
C021,COVER Corp,revenue,licensing_tieup,FY2026/3,FY,2026-03-31,7198,million,JPY,25.3,verified_secondary,https://www.moguravr.com/cover-2026-q4-earnings/,71億9800万円. THE LINE THAT CARRIES COLLAB-EARPHONE INCOME. Fastest-growing disclosed segment. Growth attributed to strengthened coordination with domestic and overseas trading agents and growth in deal count and counterparty company count.
C021,COVER Corp,net_income,total,FY2026/3,FY,2026-03-31,,,JPY,-45.7,verified_secondary,https://www.moguravr.com/cover-2026-q4-earnings/,Absolute value NOT RETRIEVED - only the YoY change.
C021,COVER Corp,revenue,total,FY2026/3 Q3 cum,Q3_cumulative,2025-12-31,34600,million,JPY,20.2,verified_secondary,https://www.moguravr.com/cover-2026-q3-financial-results/,346億円
C021,COVER Corp,revenue,total,FY2027/3 Q1,Q1,2026-06-30,8825,million,JPY,-8.3,partial,https://finance.biggo.jp/news/jpx_tdnet_140120260812518254,Merchandising declined on trading-card release scheduling and difficulties in an EC-operations transition. Magnitude to re-verify.
C022,ANYCOLOR,revenue,total,FY2026/4,FY,2026-04-30,55681,million,JPY,29.9,verified_secondary,https://japanir.jp/company/company-5032/ir/5032-20260610-01_wp_financial_summary/,556.81億円. Automated summary rendered this as 556.81 BILLION yen - a 100x error.
C022,ANYCOLOR,operating_profit,total,FY2026/4,FY,2026-04-30,20172,million,JPY,23.9,verified_secondary,https://finance.logmi.jp/articles/385001,201.72億円. DERIVED operating margin 36.2% - exceptionally high for a goods-led business.
C022,ANYCOLOR,ordinary_profit,total,FY2026/4,FY,2026-04-30,20197,million,JPY,24.6,verified_secondary,https://finance.logmi.jp/articles/385001,201.97億円
C022,ANYCOLOR,net_income,total,FY2026/4,FY,2026-04-30,14091,million,JPY,22.4,verified_secondary,https://finance.logmi.jp/articles/385001,140.91億円
C022,ANYCOLOR,revenue,total,FY2026/4 Q3 cum,Q3_cumulative,2026-01-31,42000,million,JPY,45.4,verified_secondary,https://www.moguravr.com/anycolor-q3-financial-results-2026/,420億円
C022,ANYCOLOR,revenue,commerce,FY2026/4 Q1,Q1,2025-07-31,10394,million,JPY,,verified_secondary,https://finance.logmi.jp/articles/382668,103億9400万円. Commerce is ~70% of total revenue company-wide and the named driver of growth.
C022,ANYCOLOR,revenue,events,FY2026/4 Q1,Q1,2025-07-31,2117,million,JPY,,verified_secondary,https://finance.logmi.jp/articles/382668,21億1700万円
