gap_id,entity_type,entity_id,entity_name,field,status,priority,searches_attempted,explanation,date
G001,market,,both markets,royalty_rate;licensing_fee,not_found,high,"~200 sources across JP and CN; Toyo Keizai industry interview; all IR filings read; all brand press releases read","No royalty rate or licensing fee for any deal appears in any source. The Toyo Keizai interview with Preseed Japan's EVP explicitly discusses the licensing structure and still discloses no rates. Treat as PERMANENT not-found; obtainable only via direct industry contact.",2026-09-07
G002,product,P0110,MissEvan LCD ear-clip earphone,price_value;spec;odm_supplier,not_found,high,"MissEvan official site; JD flagship store; JD category listings; Baidu Baike; targeted CN searches for 典藏礼盒 and 声刻 merchandise","Product CONFIRMED to exist and launched 2026-07-10 but no price specification or manufacturer found. This is the most strategically relevant Chinese product in the dataset. The Maoer Shengke 2026 event runs 2026-09-11 to 09-13 in Changzhou - a live opportunity to observe pricing directly.",2026-09-07
G003,product,P0065,COTSUBU for ASMR Patra Edition 1st,units_sold_total,conflicting_sources,high,"final PR Times releases; PANORA; AV Watch; PHILE WEB","Reporting on the 2nd installment states the 1st sold 10000+ units within one month. PANORA documents a 400-slot meet-and-greet allocation (Dec 2022) and a 1000-unit final restock (Jul 2023). Cannot be reconciled. Most likely the 400 is a subset of a larger general sale but that reading is NOT EVIDENCED. Total volume recorded as NOT ESTABLISHED.",2026-09-07
G004,product,P0087,KPro01,crowdfunding_total,conflicting_sources,medium,"mynavi; Oricon; Makuake official note; KAI-YOU","Final raised reported as JPY 166.07M (mynavi Oricon) and JPY 160M / 53x (Makuake's own note). Multiple of target reported as both 55x and 53x. Recorded as a range pending the Makuake campaign page itself.",2026-09-07
G005,product,P0087,KPro01,reward_tiers;units_vs_backers,not_found,medium,"KAI-YOU; mynavi; Makuake note; Oricon","10003 backers confirmed but reward tier structure not retrieved so unit count cannot be derived from backer count. Per-backer average of JPY 16602 is per BACKER not per unit.",2026-09-07
G006,company,C021,COVER Corp,tanshin_pdf_direct_read,paywalled,medium,"Yahoo-hosted tanshin PDF for FY2026/3 and FY2025/3 Q3","Both PDFs returned unparseable binary via automated fetch. All COVER figures currently sourced from trade reporting on those filings rather than the filings themselves. Needs a manual read to confirm at source.",2026-09-07
G007,company,C021,COVER Corp,operating_profit_absolute,not_found,medium,"Mogura VR; logmi; PANORA; Yahoo Finance; Minkabu","Net income YoY change (-45.7%) found but no absolute operating profit figure retrieved for FY2026/3.",2026-09-07
G008,company,C022,ANYCOLOR,full_year_segment_split,not_disclosed,medium,"logmi earnings calls; Mogura VR; gamebiz; Japan IR; Q3 IR deck located but not read","Only Q1 absolutes found for commerce (103億9400万) and events (21億1700万). Full-year absolute split across all four segments not published in the sources read. The FY2026/4 Q3 IR deck PDF is located and unread.",2026-09-07
G009,company,C022,ANYCOLOR,licensing_revenue,not_disclosed,high,"all ANYCOLOR earnings materials read","STRUCTURAL not missing. ANYCOLOR books goods inside commerce (~70% of revenue) and discloses NO separate licensing line. Nijisanji collab-earphone income is therefore NOT observable from filings. COVER is the only public window onto this market's licensing economics.",2026-09-07
G010,company,C016,MOONDROP,revenue_precise;units;margin,not_disclosed,medium,"brand site; company history page; Chuhai Wang profile; CN trade press","Private company. Only 「上亿」 (over CNY 100 million output value) available as an order of magnitude. No unit volumes or margin data.",2026-09-07
G011,product,P0088,Sony Bocchi the Rock collab,price_value;model_code;spec,not_found,medium,"Sony official collab page (returns mojibake); Sony WF-C710N pages; Kakaku.com; JP searches","Official Sony page confirmed to exist and confirms a 3rd installment but returned unreadable encoding on retrieval. Base platform appears to be WF-C710N class (plain model ~JPY 12884 street) but the collab price is unconfirmed for all three installments.",2026-09-07
G012,product,,ONKYO collab index SKUs,price_value,not_disclosed,medium,"ONKYO DIRECT collab index page","Roughly 14 ONKYO collab SKUs are listed on the official index with no prices published on that page. Individual product pages would need to be walked one by one.",2026-09-07
G013,product,P0089;P0090,Groove Coaster x hololive,price_value,not_found,low,"Cafereo product pages; HMV news","Prices not retrieved for vol.1-3.",2026-09-07
G014,company,C013,Hi-Unit,corporate_owner,not_found,low,"JP searches on Hi-Unit brand","Operating company not established. Suspected to be a retailer house brand but unevidenced.",2026-09-07
G015,product,P0093,intime iGa-Phone,partner_name,not_found,low,"e-earphone collab index","Listed in the VTuber/artist collab section but the collaborating partner is not named in any source read.",2026-09-07
G016,product,P0111,qdc x Idolmaster Cinderella Girls,price_value;release_date;spec,not_found,medium,"CN and JP searches for qdc FRONTIER Next Black","Confirmed to exist via the e-earphone index. Notable as the only custom-IEM-house participant besides ONKYO/FitEar and as a CN-brand/JP-IP cross-market case. No primary retrieved.",2026-09-07
G017,product,P0112,Xinghaibei x Miku M500+YUME bundle,primary_source;brand_relationship,not_found,low,"CN searches; bilibili video only","Tier-6 source only. The relationship between 星海贝 and HiBy Digital's YUME product is NOT ESTABLISHED.",2026-09-07
G018,partner,,Kiramune roster,4_of_13_seiyuu_names,not_found,medium,"Anime Hack article; AVIOT PR Times release","9 of 13 names confirmed. The remaining 4 came back only as unreliable transliterations. Must be re-read from the Japanese primary before publishing the roster. Kiramune's corporate parent (Bandai Namco affiliation asserted) is also unverified.",2026-09-07
G019,company,C001,Preseed Japan,representative_name_kanji,not_found,low,"PR Times release (transliteration only)","Representative rendered as Tsuchiyama Hirokazu in translation; kanji not captured.",2026-09-07
G020,product,P0073,final TWSN73,battery_case_h_verification,conflicting_sources,low,"final product page","Stated as 180 hours total with case against 9 hours per charge. Anomalously high for the category; possibly a page error or an unusual case battery. Flagged for verification before use.",2026-09-07
G021,company,C024,VirtuaReal,operating_entity_name,conflicting_sources,low,"Chinese Wikipedia; search summary; Baidu Baike","Chinese Wikipedia gives 上海萌电文化科技有限公司; a search summary gave 上海梦典文化科技有限公司. Wikipedia reading preferred pending a business-registry check.",2026-09-07
G022,market,,China,named_individual_CV_collab,not_found,high,"9 targeted searches: 边江 阿杰 姜广涛 夏磊 杨天翔 山新 季冠霖; 广播剧+联名+耳机; 声优+联名+耳机+中文配音; VUP/虚拟主播+联名+耳机 (A-SOUL 泠鸢); MissEvan store; Tmall/JD","EVIDENCED NEGATIVE AND REPORTABLE AS A FINDING. No collaboration with a named Chinese voice actor as themselves was found. Everything confirmed in CN is game IP anime IP virtual-singer voicebanks or one Japanese voice actress. Contrast: JP has abundant individual-talent collabs.",2026-09-07
G023,market,,China,onmyoji_moondrop_collab,not_found,low,"targeted CN searches on 阴阳师 + 水月雨 + 联名","A first-sweep lead claimed a Moondrop x Onmyoji collab. Targeted search found NO supporting evidence. LEAD WITHDRAWN - do not carry forward.",2026-09-07
G024,market,,China,headphone_market_value_magnitude,partial,medium,"OFweek/RUNTO article","428亿元 (CNY 42.8bn) reading is supported by an ASP cross-check (42.8bn / 218M units = CNY 196 which is plausible; the alternative reading would imply CNY 1963). Primary RUNTO report not read directly.",2026-09-07
G025,market,,global,headphone_market_figures,partial,low,"Gelonghui report summary","Global 2023 CNY 583.96bn and 2029F CNY 694.74bn at 2.82% CAGR taken from a report summary. Unit magnitude not re-verified from the primary report.",2026-09-07
G026,market,,China,paid_market_reports,paywalled,low,"chinabaogao; gelonghui; chyxx PDF; easseen; zhiyanzhan","Five Chinese market research reports on the headphone and Hi-Fi headphone industry located. All appear to be paid products; only summary figures are likely extractable free.",2026-09-07
G027,market,,China,maoer_shengke_prospectus,paywalled,medium,"fxbaogao","The 2026 Maoer Shengke sponsorship prospectus (招商通案) would likely contain audience and commercial data for the CN audio-drama event channel. Paywalled on fxbaogao.",2026-09-07
G028,company,C023,bilibili,financials,not_found,medium,"not yet searched","bilibili is the parent of both MissEvan and VirtuaReal and therefore the counterparty for any Nijisanji-China or CN audio-drama deal. Financials not yet pulled. Listed on HKEX and NASDAQ so filings are available.",2026-09-07
G029,company,C028,Sanrio,financials,not_found,low,"not yet searched","Licensor across AVIOT Zeeny and Hi-Unit. TSE 8136. Financials not pulled.",2026-09-07
G030,company,C002,Onkyo,corporate_structure,not_found,medium,"not yet searched","Onkyo underwent restructuring; current corporate structure and ownership of the ANIMA brand not established.",2026-09-07
G031,company,C003,final,sNEXT_rename_date,not_found,low,"final corporate pages; legacy snext-final.com domain still live","Company formerly S'NEXT. Rename date and legal continuity not verified.",2026-09-07
G032,product,,AVIOT,total_collab_sku_count,partial,medium,"AVIOT collab index; AVIOT product pages; Toyo Keizai interview","31 SKUs confirmed. The company states voice guidance recorded for 350+ anime characters and names franchises (Kamen Rider W Baki) not yet matched to model codes, so the true SKU count is higher than 31.",2026-09-07
G033,product,,all made-to-order JP SKUs,units_sold,not_disclosed,high,"all brand press releases and product pages read","STRUCTURAL. The dominant Japanese model is 完全受注生産 (fully made-to-order). Order windows close and production follows so per-SKU volumes are almost never disclosed. ag COTSUBU Patra BLACK is the sole exception found where the brand published unit figures. Secondary-market resale pricing (goods-mate.com) is the only observable demand proxy.",2026-09-07
G034,market,,both markets,fx_rate,not_set,high,"not yet fixed","No FX rate has been fixed for this project. All USD figures anywhere in the dataset are indicative only and must not be treated as final. A rate and date need to be chosen and applied consistently before any cross-market value comparison is published.",2026-09-07
