product_id,brand,brand_country,product_name,model_code,partner_name,partner_class,partner_agency,form_factor,connectivity,collab_depth,price_value,price_currency,price_tax_basis,voice_clip_count,announce_date,order_open,release_date,availability,driver_config,bt_version,codecs,battery_bud_h,battery_case_h,water_rating,weight_g,units_sold,units_basis,channel,confidence,notes
P0001,AVIOT,JP,hololive English -Advent- collab model,TE-V1R-HE2,hololive English -Advent-,vtuber_unit,COVER Corp,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,370,,,,limited_sold_out,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,19,62,IPX4,,,,AVIOT ONLINE MALL,verified_primary,370+ newly recorded clips across 5 talents
P0002,AVIOT,JP,hololive English -Myth- collab model,TE-V1R-HEN,hololive English -Myth-,vtuber_unit,COVER Corp,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,200,2024-08-16,,,discontinued,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,19,62,IPX4,,,,AVIOT ONLINE MALL,verified_primary,200+ clips across 10 JP/EN modes; sales ended
P0003,AVIOT,JP,hololive English -Promise- collab model,TE-V1R-HE3,hololive English -Promise-,vtuber_unit,COVER Corp,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,2026-06-30,,,limited_active,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,19,62,IPX4,,,,AVIOT ONLINE MALL,verified_primary,pre-order; ships late Nov
P0004,AVIOT,JP,hololive English -Justice- collab model,TE-V1R-HE4,hololive English -Justice-,vtuber_unit,COVER Corp,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,2026-06-30,,,limited_active,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,19,62,IPX4,,,,AVIOT ONLINE MALL,verified_primary,pre-order; ships late Nov
P0005,AVIOT,JP,Kiramune collab model,TE-D01v-KRM,Kiramune,seiyuu_group,Kiramune label,tws_iem,wireless_bt,cosmetic_plus_media,22000,JPY,incl,39,,2023-05-09,2023-07,limited_sold_out,10mm dynamic,5.2,,18,60,IPX4,6.3,,,AVIOT ONLINE MALL;Animate Online;Tower Records,verified_primary,13 seiyuu x 3 clips; AVIOT SOUND ME app member switching; order window closed 2023-05-31
P0006,AVIOT,JP,Gintama Yorozuya model,TE-V1R-GTY,Gintama (Yorozuya),anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,2024-08-29,2025-01,limited_sold_out,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,360+ clips across all four Gintama models combined
P0007,AVIOT,JP,Gintama Shinsengumi model,TE-V1R-GTS,Gintama (Shinsengumi),anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,2024-08-29,2025-01,limited_sold_out,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,see P0006 for combined clip count
P0008,AVIOT,JP,Gintama Joui Shitenno model,TE-V1R-GTJ,Gintama (Joui Shitenno),anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,2024-08-29,2025-01,limited_sold_out,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,see P0006 for combined clip count
P0009,AVIOT,JP,Gintama Ossan model,TE-V1R-GTO,Gintama (Ossan),anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,2024-08-29,2025-01,limited_sold_out,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,see P0006 for combined clip count
P0010,AVIOT,JP,Oshi no Ko collab model,TE-V1R-ONK,Oshi no Ko,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,220,2025-07-01,2025-07-01,2025-10,limited_sold_out,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,19,62,IPX4,,,,AVIOT ONLINE MALL,verified_primary,hybrid ANC; multi-language AI voice guidance
