date,subject,trigger,consequence,severity,severity_label,has_earphone_collab,source_url,note
2018-06,『二度目の人生を異世界で』四声优,原作者过往仇恨言论,动画中止播出与制作 + 18卷小说停止出货并自主回收,5,项目终止,yes,https://nlab.itmedia.co.jp/cont/articles/3279428/,同日同时下车 增田俊樹 安野希世乃 中島愛 山下七海。增田与安野均已有耳机联名产品
2019,朴璐美 · 置鮎龍太郎,涉香港议题言论,遭中文互联网抵制,2,言论争议,no,https://www.163.com/dy/article/GD1MSM5105467D9Z.html,后续商业后果未在信源中量化
2020-09,桐生ココ · 赤井はあと（hololive）,直播显示台湾为国家 + 提及台湾这个国家,全体艺人失去bilibili直播权限 两人停止活动 hololive后退出bilibili,5,项目终止,no,https://note.com/aneks/n/n3b815826b56e,双向风险唯一完整样本 COVER的一个中国表述随即在台湾与日本引发第二轮反弹
2021-02,茅野愛衣,个人广播中提及参拜靖国神社,事务所致歉,4,多作品下架,yes,https://www.koenote.info/entry/20210626,已有环球音乐TOoKA BASE耳机联名SKU P0081
2021-06,茅野愛衣,同上 后续处置,明日方舟 崩坏学园 阴阳师 永远的七日之都 陆续下架替换,4,多作品下架,yes,https://news.qq.com/rain/a/20210621A01BV000,明日方舟表述为依开发方要求
2021-06,茅野愛衣,同上 后续处置,碧蓝航线国服移除其配音七艘舰船全部语音 未事先通知,4,多作品下架,yes,https://gnn.gamer.com.tw/detail.php?sn=216873,含爱宕 加贺 声望 齐柏林伯爵
2021,本渡楓 · 桑原由気,靖国神社与军国主义人物塑像合影,舆论争议,2,言论争议,no,https://zhuanlan.zhihu.com/p/351978165,本渡楓另在广播中自述为东乡平八郎后裔
2025-02,BanG Dream! 系列一位女声优,使用台湾旗帜,在中国引发大规模争议,2,言论争议,no,http://www.anige-sokuhouvip.com/blog-entry-75627.html,具体姓名在所获信源中未标明
2025-03,森久保祥太郎,未说明,在一款中国游戏被替换掉三个角色 未获任何说明,3,角色替换,yes,https://www.youtube.com/watch?v=ygXW74zPhts,已有环球音乐TOoKA BASE耳机联名SKU P0169。据报由寺岛惇太接替
2025-09,『鸣潮』中文配音,配音演员言论争议,官方宣布更换女主角普通话配音,3,角色替换,no,https://www.gamersky.com/news/202509/2010250.shtml,鸣潮为MOONDROP联名对象 U.C.T.S.
2025-12,日本艺人整体,首相高市早苗涉台言论,在华演出接连取消 中方发布旅行提示,5,项目终止,no,https://ja.wikipedia.org/wiki/高市早苗による台湾有事発言,记录中首次触发点既非艺人本人亦非作品而是日本政府 任何筛选流程都无法覆盖
2026-03,佐藤拓也,过往发言 另有17年前靖国参拜报道,自恋与深空Rey与明日方舟Midnight下车,3,角色替换,no,https://oniji.hatenablog.com/entry/2026/08/01/210000,另见 https://c.m.163.com/news/a/KN8E4QM7051486RA.html
