source_id,url,publisher,publisher_type,doc_type,language,reliability_tier,retrieved_date,topic
S001,https://shop.aviot.jp/collections/collaboration,AVIOT,brand_official,product_index,ja,1,2026-09-07,AVIOT full collab catalogue and prices
S002,https://shop.aviot.jp/collections/hololive-all,AVIOT,brand_official,product_index,ja,1,2026-09-07,AVIOT hololive line and sold-out status
S003,https://aviot.jp/about/,AVIOT,brand_official,corporate,ja,1,2026-09-07,AVIOT brand identity and history
S004,https://preseedjapan.co.jp/company/company_profile/,Preseed Japan,brand_official,corporate,ja,1,2026-09-07,Preseed Japan company profile
S005,https://aviot.jp/press/aviot-radio/,AVIOT,brand_official,press_release,ja,1,2026-09-07,AVIOT own radio programme on Bunka Broadcasting
S006,https://aviot.jp/press/te-v1r-gt-series/,AVIOT,brand_official,press_release,ja,1,2026-09-07,Gintama TE-V1R-GT four models price dates 360+ voices
S007,https://prtimes.jp/main/html/rd/p/000000148.000027368.html,Preseed Japan via PR Times,brand_official,press_release,ja,1,2026-09-07,AVIOT x Kiramune TE-D01v-KRM full spec and price
S008,https://shop.aviot.jp/products/te-q3-ksr,AVIOT,brand_official,product_page,ja,1,2026-09-07,Apothecary Diaries model
S009,https://shop.aviot.jp/products/te-q3-hk,AVIOT,brand_official,product_page,ja,1,2026-09-07,Haikyu!! model
S010,https://shop.aviot.jp/products/te-v1r-gt,AVIOT,brand_official,product_page,ja,1,2026-09-07,Gintama series product page
S011,https://shop.aviot.jp/products/te-v1r-jk,AVIOT,brand_official,product_page,ja,1,2026-09-07,Jujutsu Kaisen model
S012,https://www.phileweb.com/news/d-av/202507/01/63000.html,PHILE WEB,trade_press,article,ja,4,2026-09-07,AVIOT Oshi no Ko TE-V1R-ONK 220 voices price spec
S013,https://www.eva-info.jp/25439,Evangelion official,agency_official,press_release,ja,1,2026-09-07,AVIOT x Evangelion 9-character guidance voices
S014,https://www.anime-gintama.com/news/detail.html?id=21695,Gintama official,agency_official,press_release,ja,1,2026-09-07,AVIOT four Gintama wireless models
S015,https://hololivepro.com/news/20240816-aviot-x-ホロライブenglish-myth-コラボイヤホンの予約販売が開/,COVER Corp,agency_official,press_release,ja,1,2026-09-07,AVIOT x hololive EN Myth pre-order
S016,https://uzurea.net/aviot-hololive-en-advent-earphones/,uzurea.net,general_press,article,ja,5,2026-09-07,hololive EN Advent 370 voices 22880 JPY
S017,https://toyokeizai.net/articles/-/893363?display=b,Toyo Keizai,trade_press,interview,ja,4,2026-09-07,INDUSTRY ANALYSIS - rights fragmentation barrier; Preseed EVP and Bunka Broadcast Extend CEO interviewed; 350+ character voices
S018,https://onkyodirect.jp/shop/pages/collabo.aspx,ONKYO,brand_official,product_index,ja,1,2026-09-07,ONKYO full collab index
S019,https://www.dreamnews.jp/press/0000360233,ONKYO via DreamNews,brand_official,press_release,ja,1,2026-09-07,Girls Band Cry Custom IEM K1/K2/K3 ALL PRICES driver config FitEar co-development
S020,https://news.yahoo.co.jp/articles/a34fe9608e92ff2661264f626b2322d6111d9086,PHILE WEB via Yahoo,trade_press,article,ja,4,2026-09-07,ONKYO Girls Band Cry custom IEM magnesium BA
S021,https://onkyoanime.com/info/6636623,ONKYO Oto-Ani,brand_official,press_release,ja,1,2026-09-07,Girls Band Cry Custom IEM release
S022,https://hobby.dengeki.com/news/2543901/,Dengeki Hobby,trade_press,article,ja,4,2026-09-07,ANIMA AOW01 Girls Band Cry 20000 JPY spec 11 words
S023,https://onkyoanime.com/info/5868915,ONKYO Oto-Ani,brand_official,press_release,ja,1,2026-09-07,Girls Band Cry wireless made-to-order
S024,https://onkyoanime.com/menu/c1230073,ONKYO Oto-Ani,brand_official,product_index,ja,1,2026-09-07,Girls Band Cry product index
