partner_id,name_native,name_latin,partner_class,talent_roles,agency_name,agency_status,origin_market,audience_metric,audience_value,audience_as_of,brands_partnered,confidence,notes
T001,周防パトラ,Suou Patra,vtuber_individual,vtuber;asmr_performer,774 inc. until 2023-05-09 then independent,independent,JP,youtube_subscribers,660000,2023-05,final/ag,verified_secondary,MOST COMMERCIALLY DOCUMENTED PARTNER IN THE DATASET. Began in 774 inc. as leader of the unit Honey Strap; graduated to independent on 2023-05-09. The 25000-unit 2nd installment went on pre-order 2023-08-20 - THREE MONTHS AFTER she left the agency. Installments 2-5 are deals with an unaffiliated individual requiring no agency or multi-party licence.
T002,小岩井ことり,Koiwai Kotori,seiyuu_individual,voice_actor;audio_engineer,not established,unknown,JP,,,,Owltech,verified_primary,ONLY CASE where the talent led development rather than licensing likeness. Holds MIDI検定1級; active DTM practitioner. Approached by Owltech for a normal collab and chose to lead the development team. KPro01 raised JPY 166.07mn from 10003 backers.
T003,浪川大輔,Namikawa Daisuke,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,final;AVIOT (via Kiramune),verified_primary,DEEPEST ENGINEERING INVOLVEMENT of any licensing talent - tested 100+ prototype variants jointly with final engineers and supervised the industrial design. Also a Kiramune member so appears on AVIOT TE-D01v-KRM.
T004,しぐれうい,Shigure Ui,illustrator_vtuber,vtuber;illustrator,independent,independent,JP,,,,AVIOT,verified_primary,Dual identity - illustrator AND VTuber. Supervised BOTH sound quality and design per PHILE WEB. Also has a dedicated acrylic earphone stand SKU (AEST-SGR-1) and a goods set.
T005,鈴村健一,Suzumura Kenichi,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,JVCKenwood;AVIOT (via Kiramune),verified_primary,Voice on JVCKenwood USB-VA1 voice-content SKU AND a Kiramune member. Evidence that individual seiyuu are NON-EXCLUSIVE across competing audio brands.
T006,江口拓也,Eguchi Takuya,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,Universal Music;AVIOT (via Kiramune);final (via Namikawa trio),verified_primary,Appears on THREE competing brands' products. Strongest single evidence of talent non-exclusivity.
T007,畠中祐,Hatanaka Yu,seiyuu_individual,voice_actor,not established,unknown,JP,,,,JVCKenwood;Universal Music,verified_primary,Voice on JVCKenwood USB-VA1HT and on Universal Music D60A line.
T008,喜多村英梨,Kitamura Eri,seiyuu_individual,voice_actor,not established,unknown,JP,,,,AVIOT,verified_primary,Individual seiyuu deal at JPY 19800 - below the 22880 IP tier.
T009,安野希世乃,Yasuno Kiyono,seiyuu_individual,voice_actor;singer,not established,unknown,JP,,,,MOONDROP,verified_primary,THE ONLY HUMAN-TALENT COLLAB IN THE ENTIRE CHINESE DATASET - and she is Japanese. Priced at CNY 599 the highest TWS in Moondrop's collab line.
T010,逢坂成美,Ousaka Narumi,seiyuu_individual,voice_actor;asmr_performer,DLsite/EISYS work,unknown,JP,,,,LUKLUK (Moondrop-developed),verified_secondary,Tied to a DLsite doujin voice work. CN-JP cross-border doujin tier.
